"Country","Freedom in the World 2020","2020 Index of Economic Freedom","2020 Press Freedom Index","2019 Democracy Index"
" Afghanistan",NA,"mostly unfree","difficult situation","authoritarian regime"
" Albania",NA,"moderately free","noticeable problems","hybrid regime"
" Algeria",NA,"repressed","difficult situation","hybrid regime"
" Angola",NA,"mostly unfree","noticeable problems","authoritarian regime"
" Argentina",NA,"mostly unfree","noticeable problems","flawed democracy"
" Armenia",NA,"mostly free","noticeable problems","hybrid regime"
" Australia",NA,"free","satisfactory situation","full democracy"
" Austria",NA,"mostly free","satisfactory situation","full democracy"
" Azerbaijan",NA,"moderately free","very serious situation","authoritarian regime"
" Bahrain",NA,"moderately free","very serious situation","authoritarian regime"
" Bangladesh",NA,"mostly unfree","difficult situation","hybrid regime"
" Belarus",NA,"moderately free","difficult situation","authoritarian regime"
" Belgium",NA,"moderately free","good situation","flawed democracy"
" Benin",NA,"mostly unfree","difficult situation","hybrid regime"
" Bhutan",NA,"moderately free","noticeable problems","hybrid regime"
" Bolivia",NA,"repressed","difficult situation","hybrid regime"
" Bosnia and Herzegovina",NA,"moderately free","noticeable problems","hybrid regime"
" Botswana",NA,"moderately free","satisfactory situation","flawed democracy"
" Brazil",NA,"mostly unfree","noticeable problems","flawed democracy"
" Bulgaria",NA,"mostly free","difficult situation","flawed democracy"
" Burkina Faso",NA,"mostly unfree","satisfactory situation","hybrid regime"
" Burma",NA,"mostly unfree","difficult situation","authoritarian regime"
" Burundi",NA,"repressed","very serious situation","authoritarian regime"
" Cambodia",NA,"mostly unfree","difficult situation","authoritarian regime"
" Cameroon",NA,"mostly unfree","difficult situation","authoritarian regime"
" Canada",NA,"mostly free","satisfactory situation","full democracy"
" Cape Verde",NA,"moderately free","satisfactory situation","flawed democracy"
" Central African Republic",NA,"mostly unfree","difficult situation","authoritarian regime"
" Chad",NA,"mostly unfree","difficult situation","authoritarian regime"
" Chile",NA,"mostly free","noticeable problems","full democracy"
" China",NA,"mostly unfree","very serious situation","authoritarian regime"
" Colombia",NA,"moderately free","difficult situation","flawed democracy"
" Comoros",NA,"mostly unfree","noticeable problems","authoritarian regime"
" Costa Rica",NA,"moderately free","good situation","full democracy"
" Congo, Democratic Republic of the",NA,"repressed","difficult situation","authoritarian regime"
" Congo, Republic of the",NA,"repressed","difficult situation","authoritarian regime"
" Croatia",NA,"moderately free","noticeable problems","flawed democracy"
" Cuba",NA,"repressed","very serious situation","authoritarian regime"
" Cyprus",NA,"mostly free","satisfactory situation","flawed democracy"
" Czech Republic",NA,"mostly free","satisfactory situation","flawed democracy"
" Denmark",NA,"mostly free","good situation","full democracy"
" Djibouti",NA,"mostly unfree","very serious situation","authoritarian regime"
" Dominican Republic",NA,"moderately free","noticeable problems","flawed democracy"
" East Timor",NA,"repressed","noticeable problems","flawed democracy"
" Ecuador",NA,"mostly unfree","noticeable problems","flawed democracy"
" Egypt",NA,"mostly unfree","very serious situation","authoritarian regime"
" El Salvador",NA,"moderately free","noticeable problems","flawed democracy"
" Equatorial Guinea",NA,"repressed","very serious situation","authoritarian regime"
" Eritrea",NA,"repressed","very serious situation","authoritarian regime"
" Estonia",NA,"mostly free","good situation","flawed democracy"
" Eswatini",NA,"mostly unfree","difficult situation","authoritarian regime"
" Ethiopia",NA,"mostly unfree","noticeable problems","authoritarian regime"
" Fiji",NA,"moderately free","noticeable problems","hybrid regime"
" Finland",NA,"mostly free","good situation","full democracy"
" France",NA,"moderately free","satisfactory situation","full democracy"
" Gabon",NA,"mostly unfree","difficult situation","authoritarian regime"
" Gambia",NA,"mostly unfree","noticeable problems","hybrid regime"
" Georgia",NA,"mostly free","noticeable problems","hybrid regime"
" Germany",NA,"mostly free","good situation","full democracy"
" Ghana",NA,"mostly unfree","satisfactory situation","flawed democracy"
" Greece",NA,"mostly unfree","noticeable problems","flawed democracy"
" Guatemala",NA,"moderately free","difficult situation","hybrid regime"
" Guinea",NA,"mostly unfree","noticeable problems","authoritarian regime"
" Guinea-Bissau",NA,"mostly unfree","noticeable problems","authoritarian regime"
" Guyana",NA,"mostly unfree","noticeable problems","flawed democracy"
" Haiti",NA,"mostly unfree","noticeable problems","hybrid regime"
" Honduras",NA,"moderately free","difficult situation","hybrid regime"
" Hong Kong",NA,"free","noticeable problems","flawed democracy"
" Hungary",NA,"moderately free","noticeable problems","flawed democracy"
" Iceland",NA,"mostly free","satisfactory situation","full democracy"
" India",NA,"mostly unfree","difficult situation","flawed democracy"
" Indonesia",NA,"moderately free","difficult situation","flawed democracy"
" Iran",NA,"repressed","very serious situation","authoritarian regime"
" Ireland",NA,"free","good situation","full democracy"
" Israel",NA,"mostly free","noticeable problems","flawed democracy"
" Italy",NA,"moderately free","satisfactory situation","flawed democracy"
" Ivory Coast",NA,"mostly unfree","noticeable problems","hybrid regime"
" Jamaica",NA,"moderately free","good situation","flawed democracy"
" Japan",NA,"mostly free","noticeable problems","flawed democracy"
" Jordan",NA,"moderately free","difficult situation","authoritarian regime"
" Kazakhstan",NA,"moderately free","difficult situation","authoritarian regime"
" Kenya",NA,"mostly unfree","noticeable problems","hybrid regime"
" Korea, North",NA,"repressed","very serious situation","authoritarian regime"
" Korea, South",NA,"mostly free","satisfactory situation","flawed democracy"
" Kuwait",NA,"moderately free","noticeable problems","authoritarian regime"
" Kyrgyzstan",NA,"moderately free","noticeable problems","hybrid regime"
" Laos",NA,"mostly unfree","very serious situation","authoritarian regime"
" Latvia",NA,"mostly free","satisfactory situation","flawed democracy"
" Lebanon",NA,"mostly unfree","noticeable problems","hybrid regime"
" Lesotho",NA,"mostly unfree","noticeable problems","flawed democracy"
" Liberia",NA,"repressed","noticeable problems","hybrid regime"
" Lithuania",NA,"mostly free","satisfactory situation","flawed democracy"
" Luxembourg",NA,"mostly free","satisfactory situation","full democracy"
" Madagascar",NA,"moderately free","noticeable problems","hybrid regime"
" Malawi",NA,"mostly unfree","noticeable problems","hybrid regime"
" Malaysia",NA,"mostly free","noticeable problems","flawed democracy"
" Mali",NA,"mostly unfree","noticeable problems","hybrid regime"
" Malta",NA,"moderately free","noticeable problems","flawed democracy"
" Mauritania",NA,"mostly unfree","noticeable problems","authoritarian regime"
" Mauritius",NA,"mostly free","noticeable problems","full democracy"
" Mexico",NA,"moderately free","difficult situation","flawed democracy"
" Moldova",NA,"moderately free","noticeable problems","hybrid regime"
" Mongolia",NA,"mostly unfree","noticeable problems","flawed democracy"
" Montenegro",NA,"moderately free","noticeable problems","hybrid regime"
" Morocco",NA,"moderately free","difficult situation","hybrid regime"
" Mozambique",NA,"mostly unfree","noticeable problems","authoritarian regime"
" Namibia",NA,"moderately free","satisfactory situation","flawed democracy"
"   Nepal",NA,"mostly unfree","difficult situation","hybrid regime"
" Netherlands",NA,"mostly free","good situation","full democracy"
" New Zealand",NA,"free","good situation","full democracy"
" Nicaragua",NA,"mostly unfree","difficult situation","authoritarian regime"
" Niger",NA,"mostly unfree","noticeable problems","authoritarian regime"
" Nigeria",NA,"mostly unfree","difficult situation","hybrid regime"
" North Macedonia",NA,"moderately free","noticeable problems","hybrid regime"
" Norway",NA,"mostly free","good situation","full democracy"
" Oman",NA,"moderately free","difficult situation","authoritarian regime"
" Pakistan",NA,"mostly unfree","difficult situation","hybrid regime"
" Panama",NA,"moderately free","noticeable problems","flawed democracy"
" Papua New Guinea",NA,"mostly unfree","satisfactory situation","flawed democracy"
" Paraguay",NA,"moderately free","noticeable problems","flawed democracy"
" Peru",NA,"moderately free","noticeable problems","flawed democracy"
" Philippines",NA,"moderately free","difficult situation","flawed democracy"
" Poland",NA,"moderately free","noticeable problems","flawed democracy"
" Portugal",NA,"moderately free","good situation","full democracy"
" Qatar",NA,"mostly free","difficult situation","authoritarian regime"
" Romania",NA,"moderately free","noticeable problems","flawed democracy"
" Russia",NA,"moderately free","difficult situation","authoritarian regime"
" Rwanda",NA,"mostly free","difficult situation","authoritarian regime"
" Saudi Arabia",NA,"moderately free","very serious situation","authoritarian regime"
" Senegal",NA,"mostly unfree","satisfactory situation","hybrid regime"
" Serbia",NA,"moderately free","noticeable problems","flawed democracy"
" Sierra Leone",NA,"repressed","noticeable problems","hybrid regime"
" Singapore",NA,"free","very serious situation","flawed democracy"
" Slovakia",NA,"moderately free","satisfactory situation","flawed democracy"
" Slovenia",NA,"moderately free","satisfactory situation","flawed democracy"
" South Africa",NA,"mostly unfree","satisfactory situation","flawed democracy"
" Spain",NA,"moderately free","satisfactory situation","full democracy"
" Sri Lanka",NA,"mostly unfree","difficult situation","flawed democracy"
" Sudan",NA,"repressed","very serious situation","authoritarian regime"
" Suriname",NA,"repressed","satisfactory situation","flawed democracy"
" Sweden",NA,"mostly free","good situation","full democracy"
"  Switzerland",NA,"free","good situation","full democracy"
" Taiwan",NA,"mostly free","satisfactory situation","flawed democracy"
" Tajikistan",NA,"mostly unfree","very serious situation","authoritarian regime"
" Tanzania",NA,"moderately free","difficult situation","hybrid regime"
" Thailand",NA,"moderately free","difficult situation","flawed democracy"
" Togo",NA,"mostly unfree","noticeable problems","authoritarian regime"
" Trinidad and Tobago",NA,"mostly unfree","satisfactory situation","flawed democracy"
" Tunisia",NA,"mostly unfree","noticeable problems","flawed democracy"
" Turkey",NA,"moderately free","difficult situation","hybrid regime"
" Turkmenistan",NA,"repressed","very serious situation","authoritarian regime"
" Uganda",NA,"mostly unfree","difficult situation","hybrid regime"
" Ukraine",NA,"mostly unfree","noticeable problems","hybrid regime"
" United Arab Emirates",NA,"mostly free","difficult situation","authoritarian regime"
" United Kingdom",NA,"mostly free","satisfactory situation","full democracy"
" United States",NA,"mostly free","satisfactory situation","flawed democracy"
" Uruguay",NA,"moderately free","satisfactory situation","full democracy"
" Uzbekistan",NA,"mostly unfree","difficult situation","authoritarian regime"
" Venezuela",NA,"repressed","difficult situation","authoritarian regime"
" Vietnam",NA,"mostly unfree","very serious situation","authoritarian regime"
" Zambia",NA,"mostly unfree","difficult situation","hybrid regime"
" Zimbabwe",NA,"repressed","difficult situation","authoritarian regime"
